CL141,CustomsOffices,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOffices.zip
CL142,CountryRegion,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CountryRegion.zip
CL143,CountryHolidays,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CountryHolidays.zip
CL144,UnLocode,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_UnLocode.zip
CL146,CountryGuaranteeNotValid,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CountryGuaranteeNotValid.zip
CL147,CountryCustomsSecurityAgreementArea,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CountryCustomsSecurityAgreementArea.zip
CL152,HScode,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_HScode.zip
CL153,StateAtOfficeOfDeparture,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_StateAtOfficeOfDeparture.zip
CL153,CustomsOperationState,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOperationState.zip
CL154,StateAtOfficeOfDestination,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_StateAtOfficeOfDestination.zip
CL155,StateAtOfficeOfTransit,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_StateAtOfficeOfTransit.zip
CL156,RoleRequester,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_RoleRequester.zip
CL158,XFTCommunicationPurpose,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_XFTCommunicationPurpose.zip
CL162,DiscrepancyResolution,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_DiscrepancyResolution.zip
CL163,ReleaseTypeCode,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_ReleaseTypeCode.zip
CL164,ReleaseNotificationCode,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_ReleaseNotificationCode.zip
CL165,Nationality,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_Nationality.zip
CL166,TransitProcedureCategory,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_TransitProcedureCategory.zip
CL168,FunctionalityBusiness,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_FunctionalityBusiness.zip
CL169,CustomsSystem,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsSystem.zip
CL171,CustomsOfficeDeparture,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeDeparture.zip
CL172,CustomsOfficeDestination,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeDestination.zip
CL173,CustomsOfficeTransit,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeTransit.zip
CL174,CustomsOfficeGuarantee,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeGuarantee.zip
CL175,CustomsOfficeTransitExit,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeTransitExit.zip
CL176,CustomsOfficeEnquiry,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeEnquiry.zip
CL177,CustomsOfficeRecovery,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeRecovery.zip
CL178,PreviousDocumentUnionGoods,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_PreviousDocumentUnionGoods.zip
CL179,CustomsOfficeEnquiryOrRecovery,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeEnquiryOrRecovery.zip
CL180,FunctionalErrorCodesIeCA,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_FunctionalErrorCodesIeCA.zip
CL181,KindOfPackagesBulk,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_KindOfPackagesBulk.zip
CL182,KindOfPackagesUnpacked ,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_KindOfPackagesUnpacked .zip
CL183,UnavailabilityExplanation,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_UnavailabilityExplanation.zip
CL184,MovementQueryRejectionReasonCode,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_MovementQueryRejectionReasonCode.zip
CL185,BusinessRejectionType,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_BusinessRejectionType.zip
CL186,StateAtOfficeOfExitForTransit,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_StateAtOfficeOfExitForTransit.zip
CL187,GuaranteeTypeWithReferenceCredited,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_GuaranteeTypeWithReferenceCredited.zip
CL188,TypeOfTransitDeclarationNonTIR,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_TypeOfTransitDeclarationNonTIR.zip
CL189,TypeOfDeclarationTIR,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_TypeOfDeclarationTIR.zip
CL190,CountryAddressPostcodeBased,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CountryAddressPostcodeBased.zip
CL191,ModificationTypeNoDelete,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_ModificationTypeNoDelete.zip
CL192,LanguageByCustoms,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_LanguageByCustoms.zip
CL194,CustomsOfficeExit,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_CustomsOfficeExit.zip
CL195,ControlResultCodeDepartureSimplifiedExcluded,https://ec.europa.eu/taxation_customs/dds2/rd/compressed_file/data_download/RD_NCTS-P5_ControlResultCodeDepartureSimplifiedExcluded.zip
